status,runid,age,age_err,group,aliquot,sample,label_name
True,1,801.8,1.15,0,0,,
True,2,802.9,0.85,0,0,,
True,3,803.2,10.5,0,0,,
True,4,804.7,0.95,0,0,,
True,5,802.2,1.2,0,0,,
True,6,799.9,1.35,0,0,,
