status,runid,age,age_err,group,aliquot,sample,label_name
True,UBT,1235.0,36.0,1,0,UBT,UBT
True,CdM1,1219.0,34.0,2,0,CdM1,CdM1
True,CdM2,1172.0,20.0,3,0,CdM2,CdM2
True,CdA3,1014.0,38.0,4,0,CdA3,CdA3
True,CSR1,925.0,34.0,5,0,CSR1,CSR1
True,CSR2,801.0,36.0,6,0,CSR2,CSR2
True,CSL,820.0,46.0,7,0,CSL,CSL
True,CS,801.0,14.0,8,0,CS,CS
