status,runid,age,age_err,group,aliquot,sample,label_name
True,CdM23,1145.0,11.0,1,0,CdM23,CdM23
True,CdA123,983.0,10.0,2,0,CdA123,CdA123
True,CSR1,925.0,4.0,4,0,CSR1,CSR1
True,CSR2,795.0,15.0,5,0,CSR2,CSR2
True,CSL,808.0,3.0,6,0,CSL,CSL
True,SAM,563.0,4.0,7,0,SAM,SAM
True,SM,527.0,4.0,8,0,SM,SM
True,CLJ,529.0,11.0,9,0,CLJ,CLJ
True,BB,205.0,0.1,10,0,BB,BB
True,CdM1,1106.0,12.0,11,0,CdM1,CdM1
