status,runid,age,age_err,group,aliquot,sample,label_name
True,BB (Zimm),68.3,0.75,1,1,ec3,ec3
True,BB (mine),69.0,0.65,2,2,nmvc47,nmvc47
True,BSR (Zimm),74.4,0.65,3,3,idk,idk
True,VC-1,76.6,0.7,4,4,vc1,vc1
