status,runid,age,age_err,group,aliquot,sample,label_name
False,Qvdmn,1157.2,1.55,0,0,,
False,Qvdms,1148.3,1.2,0,0,,
True,Qvdmw,1136.9,2.85,0,0,,
False,Qvdm4,1153.9,2.45,0,0,,
True,Qvdm5,1132.0,2.35,0,0,,
True,Qvdm6,1136.0,5.0,0,0,,
