status,runid,age,age_err,group,aliquot,sample,label_name
True,DCM,1232.2,3.3,1,1,DCM,DCM
True,RCM,1202.7,3.8,2,2,RCM,RCM
True,CdM,1144.6,12.6,3,3,CdM,CdM
True,CdA,993.5,16.3,4,4,CdA,CdA
True,CSR,930.1,2.2,5,5,CSR,CSR
True,CSL,801.4,1.0,6,6,CSL,CSL
True,CS,802.3,2.4,7,7,CS,CS
True,SAM,559.9,2.5,8,8,SAM,SAM
True,SMCLH,532.1,2.7,9,9,SMCLJ,SMCLJ
True,EFM,71.4,3.0,10,10,EFM,EFM
